Unnamed: 0,text,label
0,mua đóng_gói cẩn_thận hình_ảnh mang tc kiếm xu,"[1, 0, 0, 0, 0, 0, 0]"
1,đóng_gói cẩn_thận giao hàng nhanh bé uống hợp ủng_hộ,"[1, 0, 0, 1, 0, 0, 0]"
2,giao hàng nhanh chắc_chắn sản_phẩm tốt ủng_hộ dài_dài,"[1, 0, 0, 1, 0, 0, 0]"
3,giao hàng nhanh đóng cẩn_thận móp một hộp dùng đánh_giá chất_lượng,"[1, 0, 0, 0, 1, 0, 0]"
4,hình_ảnh liên_quan giao hàng nhanh đóng_gói cẩn_thận mua,"[1, 0, 0, 0, 0, 0, 0]"
5,mua nhieu làn lam roi ủng ho tiep ánnjdjr sbhsjd bạndn bahhđm bajsnmd nạnkdkd bâjjdjmd majdjfmf,"[0, 0, 0, 0, 0, 0, 0]"
6,sữa bột date đóng_gói kỹ móp méo balo chắc_chắn xịn sò đáng mua,"[1, 0, 0, 0, 1, 1, 0]"
7,bán flash sale giá tốt hộp giao nguyên_vẹn date 2022 ưng_ý luôn,"[1, 1, 0, 0, 0, 1, 0]"
8,khoe bác món tai heo cuộn chuẩn_bị tai heo sả hành khô hạt_tiêu gia_vị gừng rượu gừng muối,"[0, 0, 0, 0, 0, 0, 0]"
9,laz tính phí ship giao hàng ngày pe tính phí giao hàng giao hàng lâu hên hết sữa mua dự_trữ sẵn trc đợi giao chắc con đói,"[1, 0, 0, 0, 0, 0, 0]"
10,sp tốt nha,"[0, 0, 0, 1, 0, 0, 0]"
11,con hợp_tác vs sữa,"[0, 0, 0, 0, 0, 0, 1]"
12,hàng ok chất_lượng mua ạkkkkkkkkkkkkkkkkkkkkkkkkkkkk,"[0, 0, 0, 1, 0, 0, 0]"
13,nhận hàng đóng hói cẩn_thận,"[1, 0, 0, 0, 0, 0, 0]"
14,giao hàng nhanh dã_man đóng_gói cẩn_thận nè mn mua ak,"[1, 0, 0, 0, 0, 0, 0]"
15,nhận hàng giao hàng nhanh giá_cả cạnh_tranh mua lâng tới,"[1, 1, 0, 0, 0, 0, 0]"
16,tôi mua trữ sẵn con nhân khuyến_mãi dịch giao hàng lâu lẻ bên vận_chuyển delay,"[1, 1, 0, 0, 0, 0, 0]"
17,sữa thơm ngon biết bé tăng cân ạ hiệu_quả nhất_định ủng_hộ dài_dài,"[0, 0, 0, 1, 0, 0, 0]"
18,mua biết đánh_giá hiiiiii,"[0, 0, 0, 0, 0, 0, 1]"
19,jaksb dvdkd hsjsh djsks iwgeo jdjxj jdjdj jsnbd oakqpq ndjdj sjkdk,"[0, 0, 0, 0, 0, 0, 0]"
20,hàng chất_lượng mua nh r,"[0, 0, 0, 1, 0, 0, 0]"
21,sữa bé uống ok ạ uống tin_dùng hãng thui mua dc giá rẻ ạ mua lon đặt lon,"[0, 1, 0, 1, 0, 0, 0]"
22,hài_lòng đóng_gói hàng cẩn_thận đúng date ủng_hộ,"[1, 0, 0, 0, 0, 1, 0]"
23,mua hàng thất_vọng méo mất hộp giao hàng tận 2 hôm mới nhận đc hàng thoi hay mua hàng 5 tiếp_tục ủng_hộ ️ ️,"[1, 0, 0, 0, 0, 0, 0]"
24,mua phát hàng nhanh phục_vụ tốt ủng_hộ lâu_dài,"[1, 0, 0, 0, 1, 0, 0]"
25,giao hàng nhanh đóng_gói sp cẩn_thận chất_lượng sản_phẩm tốt,"[1, 0, 0, 1, 0, 0, 0]"
26,hộp móp,"[1, 0, 0, 0, 0, 0, 0]"
27,sữa chuẩn đóng_gói cẩn_thận mua 3 4 tiếp_tục ủng_hộ,"[1, 0, 1, 0, 0, 0, 0]"
28,giao hàng nhanh sản_phẩm hài_lòng ủng_hộ,"[1, 0, 0, 1, 0, 0, 0]"
29,giao hàng nhanh đóng_gói chắc_chắn chất_lượng sản_phẩm tốt bé thích uống hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
30,hàng oki lâng nhi cầu ủng_hộ đợt m đặt gửi m bill úc tốt thanks,"[0, 0, 0, 1, 0, 0, 0]"
31,giao hàng bình_thường lon sữa mốp chất_lượng tốt mua tiếp,"[1, 0, 0, 1, 0, 0, 0]"
32,đóng_gói cẩn_thận sản_phẩm trong hình tuyệt_vời ad ơi,"[1, 0, 1, 0, 0, 0, 0]"
33,giao hàng nhanh hy_vọng con uống hạp sữa mua tiếp,"[1, 0, 0, 0, 0, 0, 0]"
34,giao hàng nhanh đóng_gói cẩn_thận giá rẻ ngoài tt ủng_hộ lsau,"[1, 1, 0, 0, 0, 0, 0]"
35,giao hàng nhanh mua quà tặng kèm,"[1, 0, 0, 0, 1, 0, 0]"
36,giao hàng nhanh thắc_mắc loại sữa mới lúc_lắc sữa tan nổi bọt trắng lâu tan hộp trước_đây con bú kg biết kg,"[1, 0, 0, 0, 0, 0, 0]"
37,yubest chân ái bé nhà đóng xuyên đêm thay nhnnn,"[0, 0, 0, 1, 0, 0, 0]"
38,giao hàng nhanh đóng_gói cẩn_thận chắc_chắn hài_lòng chất_lượng biết sử_dụng,"[1, 0, 0, 0, 0, 0, 0]"
39,giao hàng nhanh hy_vọng bé uống hợp ủng_hộ dài,"[1, 0, 0, 0, 0, 0, 0]"
40,gói hàng cẩn_thận sợ méo hộp hành date xa hy_vọng con h,"[1, 0, 0, 0, 0, 1, 0]"
41,nói lấy xu thôi khen ngại ahihih đủ chữ,"[0, 0, 0, 0, 0, 0, 1]"
42,giao hàng nhanh đc tặng sữa gói,"[1, 0, 0, 0, 1, 0, 0]"
43,mua,"[0, 0, 0, 0, 0, 0, 1]"
44,ship hàng siêu nhanh đặt trưa sáng nay nhận đc cskh tốt cháu dùng thích ủng_hộ tiếp,"[1, 0, 0, 0, 1, 0, 0]"
45,nhận hàng mong bạn nhỏ nhà thích mua,"[0, 0, 0, 0, 0, 0, 1]"
46,nhận hàng giao hàng nhanh đóng_gói cẩn_thận,"[1, 0, 0, 0, 0, 0, 0]"
47,sản_phẩm tốt hạn sử_dụng xa yên_tâm,"[0, 0, 0, 1, 0, 1, 0]"
48,đóng_gói lon móp méo hết v,"[1, 0, 0, 0, 0, 0, 0]"
49,sữa thơm chuẩn đặt hôm hôm nhận luôn tốt,"[1, 0, 0, 1, 0, 0, 0]"
