Unnamed: 0,text,label
2951,thứ nhận quà khuyến_mãi thiếu món đầu xe 3 bánh con bọ thiếu cây sắt gắn bánh_xe phía bộ lèo xếp bệnh_viện ghi 60 món thiếu hét mấy miếng to quà khuyến_mãi đánh_đố tâm hết,"[0, 0, 0, 0, 1, 0, 0]"
2952,mua để_dành giờ bé rụng răng,"[0, 0, 0, 0, 0, 0, 0]"
2953,tả xài thích thấm hút tốt hâm giao hàng đóng hói cẩn_thận hài_lòng về sản_phẩm,"[1, 0, 0, 1, 0, 1, 0]"
2954,gói bỉm cũ bạc_màu loại mẫu_mã lâu gói bỉm rách,"[0, 0, 0, 1, 0, 1, 0]"
2955,đóng_gói kỹ tả thấm hút tốt đai thun co_giãn chặc bé xài tả nãy tiết_kiệm huggies platinum 3kmiếng,"[1, 0, 0, 1, 0, 0, 0]"
2956,sai cung duoc,"[0, 0, 0, 0, 0, 0, 1]"
2957,giao hàng dự_kiến hàng tốt chính_hãng cám_ơn,"[1, 0, 1, 1, 0, 0, 0]"
2958,size m nhung nhỏ p mua size,"[0, 0, 0, 0, 0, 0, 1]"
2959,sữa con uống tốt tăng chiều cao cân nặng tiêu_hoá bé tốt,"[0, 0, 0, 1, 0, 0, 0]"
2960,giao hàng nhanh đúng loại hình đc tặng 8m loại size s phù_hợp số cân nặng 4 8 kg bé nhà 5 5kg mặc rộng phần đai dán mềm_mại dính tốt loại bobby soft màu vàng size bé đai dán cứng chật m_bé hằn hết chẳng soft ở chỗ mặc_dù mua loại size s,"[1, 0, 0, 1, 0, 0, 0]"
2961,mua thứ r bé xài êm cáo bông dễ_thương,"[0, 0, 0, 1, 1, 0, 0]"
2962,mua hàng đầu_tiên thất_vọng bao_bì sp cũ xấu hàng hết hạn sd ý mở bên trong sd nhũn thích mọi mua ngoài cửa_hàng thất_vọng,"[0, 0, 0, 1, 0, 1, 0]"
2963,sản_phẩm tốt ️ ️ ️ ️ ️ ️ ️ ️ ️,"[0, 0, 0, 0, 0, 0, 1]"
2964,bé nhà mới 8 kí mặc vô lằn đỏ hết hai bên hông bỉm nhỏ_bé mặc thoải_mái,"[0, 0, 0, 1, 0, 0, 0]"
2965,ok trong tầm giá,"[0, 0, 0, 0, 0, 0, 1]"
2966,lô hàng ưu_điểm hình bỉm ngộ_nghĩnh thay_đổi đa_dạng tạo hứng_thú bé nhược_điểm thấm hút kém lô hàng dễ tràng bỉm,"[0, 0, 0, 1, 0, 0, 0]"
2967,mặc bí chat luong thi ok,"[0, 0, 0, 1, 0, 1, 0]"
2968,dùng ok cảm_ơn se ung ho tiep,"[0, 0, 0, 1, 0, 0, 0]"
2969,đóng_gói cẩn_thận hàng tốt,"[1, 0, 0, 1, 0, 0, 0]"
2970,59k co balo đẹp hú hôn,"[0, 0, 0, 0, 0, 0, 0]"
2971,tã mỏng tã mua bên ngoài mùi thơm nặng trong tã mua bên ngoài mùi cảm_giác sử_dụng tã mua bên ngoài an_toàn dễ_chịu dùng tã,"[0, 0, 0, 1, 0, 0, 0]"
2972,bé nhà xài tã bobby nhỏ thun co_giãn tốt chống hăm bán hay giảm_giá quà gói now giao hàng cực_kỳ nhanh thích,"[1, 1, 0, 1, 1, 1, 0]"
2973,nhận vết dơ ở góc balo tiện_lợi ngăn nhỏ đồ trẻ nhất_ ngăn giữ ấm dùng giữ sữa con bỏ sữa giữ ấm tiếng dĩ_nhiên nguội bớt đi ấm ấm bé dùng thank,"[0, 0, 0, 0, 0, 0, 0]"
2974,tã fom dáng rộng bé mặc thoải_mái tã cứng vs giá_như gù chê ít_nhất thương_hiệu dùng an_tâm bỉm trần,"[0, 1, 0, 1, 0, 0, 0]"
2975,sp dùng thích tốt mua ba muốn tiếp_tục ủng_hộ,"[0, 0, 0, 1, 0, 0, 0]"
2976,đóng_gói gọn combo 3 gói giá hài_lòng,"[1, 1, 0, 0, 0, 0, 0]"
2977,ngày dùng huggies chẳng lăng tăng đi chọn mẫu tã mới tã huggie dùng thích nay mẫu mới thiết_kế lưng thun 4 chiều cực thích bé dùng bì hằn đỏ mềm_mại ôm sát bụng giúp bé thoả mái vận_động sợ đau rát hay tràn ngoài nay đùi êm nha 5 đệm mây vận_chuyển nhanh thanks,"[1, 0, 0, 1, 0, 0, 0]"
2978,đặt_hàng màu trắng đỏ giao hàng màu xanh đậm balo dành đựng quần_áo giống sản_phẩm trong trang_web toàn lừa_đảo,"[0, 0, 0, 0, 0, 0, 0]"
2979,mua bé nhà giá_cả phải_chăng đóng_gói cẩn_thận giao hàng nhanh,"[1, 1, 0, 0, 0, 0, 0]"
