,text,label
0,2 mua shop đều ưng giao hàng siêu nhah ủng_hộ shop,"[1, 0, 0, 0, 0, 0, 0]"
1,san hpham tuyet goi can than chac hang sieu nhanh,"[1, 0, 0, 1, 0, 0, 0]"
2,sản_phẩm như shop đăng hạn tiền giao hàng nhanh,"[1, 0, 0, 0, 0, 1, 0]"
3,shop phục_vụ nhiệt_tình giao đúng mẫu đúng size n mua oke,"[0, 0, 1, 0, 1, 0, 0]"
4,shop giao nhanh 🥰,"[1, 0, 0, 0, 0, 0, 0]"
5,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp giá_cả oke,"[1, 1, 0, 1, 0, 0, 0]"
6,gia đủ hàng nước_mắm nhăn o chai mua siêu_thị không mẫu không,"[0, 0, 0, 0, 0, 0, 0]"
7,hộp hơi mốp shop đóng_gói mỏng_manh trg vận_chuyển móp méo shop chú_ý nha,"[1, 0, 0, 0, 0, 0, 0]"
8,đóng_gói cẩn_thận hàng nhanh_chóng sản_phẩm_chất_lượng,"[1, 0, 0, 1, 0, 1, 0]"
9,chất_lượng ok nha,"[0, 0, 0, 1, 0, 0, 0]"
10,đúng đố chưa không pt,"[0, 0, 0, 0, 0, 0, 0]"
11,đóng_gói cẩn_thận lót xốp chống va_đập hàng tem đầy_đủ check mã okey mua giá sale 459k tặng shop 5 * hy_vọng mua chất_lượng tốt,"[1, 1, 1, 0, 0, 0, 0]"
12,giao hàng kĩ qá nh m vội bóc xỉu hahaha,"[1, 0, 0, 0, 0, 0, 0]"
13,đóng_gói cẩn_thận sp tốt mua giá rẻ hài_lòng,"[1, 1, 0, 1, 0, 0, 0]"
14,giao hàng nhanh shop phục_vụ tốt đóng_gói kĩ_càng tư_vấn khách_hàng nhiệt_tình shop,"[1, 0, 0, 0, 1, 0, 0]"
15,mượn tạm video hàng giao nhanh shop phục_vụ tốt hôm hôm hàng chất_lượng không không,"[1, 0, 0, 0, 1, 0, 0]"
16,giao nhanh hạn,"[1, 0, 0, 0, 0, 1, 0]"
17,hình_ảnh không lắm chuẩn hạn tặng shop 5,"[0, 0, 1, 0, 0, 1, 0]"
18,mua shop roi sp tốt giá rẻ hàng đóng_gói cẩn_thận ủng_hộ 🥳,"[1, 1, 0, 1, 0, 0, 0]"
19,giao hàng nhanh,"[1, 0, 0, 0, 0, 0, 0]"
20,chuyên hàng sỉ lẻ đồ_hàng_thùng hịn face hoac shop hàng ưng_ý,"[0, 0, 0, 0, 0, 0, 0]"
21,hạn không đk,"[0, 0, 0, 0, 0, 1, 0]"
22,chất_lượng sản_phẩm tốt đóng_gói đẹp giao hàng nhanh,"[1, 0, 0, 1, 0, 0, 0]"
23,mùi sưa hơi cac loại sua khac,"[0, 0, 0, 1, 0, 0, 0]"
24,bé uống sữa nan nga lc sơ_sinh mua chỗ siêu_thị đắt shop rẻ mua đóng_gói chắc_chắn cẩn chất_lượng sản_phẩm shop thui cũbg chả uống oki mua ủng_hộ shop tiếp,"[1, 1, 0, 0, 0, 0, 0]"
25,đóng_gói kỹ hàng nguyên_vẹn,"[1, 0, 0, 0, 0, 0, 0]"
26,giao hàng nhanh shop đóng_gói cẩn_thận chất_lượng sản_phẩm tốt,"[1, 0, 0, 1, 0, 0, 0]"
27,ship nhanh bé hiệu_quả fb oke,"[1, 0, 0, 0, 0, 0, 0]"
28,hàng ok dong gói ok rẻ giá thị_trường ma_vạch,"[0, 1, 1, 1, 0, 0, 0]"
29,giao nhanh đóng_gói cẩn_thận đặt_hàng shop 2 toàn nhầm vị buồn 😂,"[1, 0, 0, 0, 1, 0, 0]"
30,shop giao hàng chậm có_lẽ đợt 12 12 giao chậm chất_lượng oke,"[1, 0, 0, 1, 0, 0, 0]"
31,date ngắn hôm,"[0, 0, 0, 0, 0, 1, 0]"
32,hàng chuẩn hàn_lâm sỉ lẻ giá tốt toàn_quốc,"[0, 0, 0, 0, 0, 0, 1]"
33,shop giao hàng nhanh đúng ghi mua 1 bỉm tặng 1 quà không bọc đóng_gói khăn ướt thìa dơ ống bón thuốc thìa ăn dặm bé dính bẩn vụn màu cam đồ of bé mất vệ_sinh,"[1, 0, 0, 0, 1, 0, 0]"
34,chất_lượng tốt giao hàng nhanh ủng_hộ shop nhed,"[1, 0, 0, 1, 0, 0, 0]"
35,ok ủng_hộ shop tiếp,"[0, 0, 0, 0, 0, 0, 1]"
36,shop gói hàng cẩn_thận lắm nha giao nhanh hạn 202 giá mềm thanks shop,"[1, 1, 0, 1, 0, 1, 0]"
37,giá rẻ bé m,"[0, 1, 0, 0, 0, 0, 0]"
38,giao hàng nhanh đóng_gói sản_phẩm tốt ủng_hộ shop tiếp,"[1, 0, 0, 1, 0, 0, 0]"
39,mua sale rẻ mấy chục lận mặc_dù 2 lon sữa sp tem đầy_đủ,"[0, 1, 1, 0, 0, 0, 0]"
40,sản_phẩm tốt đóng_gói cẩn_thận giao hàng nhanh !,"[1, 0, 0, 1, 0, 0, 0]"
41,sữa ngon thơm béo shop gói hàng cẩn_thận giao hàng nhanh giá_cả hợp_lí,"[1, 1, 0, 1, 0, 0, 0]"
42,shop giao hàng nhanh đóng cẩn_thận móp một hộp chưa không chất_lượng,"[1, 0, 0, 0, 1, 0, 0]"
